,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
15175,Bodily Force,Male,Black,Fled on Foot,Midtown Phillips,Prowler ,R&C
15176,Bodily Force,Male,Black,Assaulted Officer,Steven's Square - Loring Heights,Traffic Law Enforcement ,ASLT4
15177,Bodily Force,Male,Black,Tensed,Shingle Creek,Suspicious Person ,OBSTRU
15178,Bodily Force,Male,Native American,Tensed,Willard - Hay,Unknown Trouble ,OBSTRU
15179,Bodily Force,Male,Black,Tensed,Midtown Phillips,Miscellaneous ,OBSTRU
15180,Bodily Force,Male,Black,Fled on Foot,Webber - Camden,Person with a Gun ,NARC
15181,Bodily Force,Male,Black,Unspecified,Jordan,Fight ,FLEE
15182,Bodily Force,Male,White,Tensed,Marcy Holmes,Suspicious Person ,OBSTRU
15183,Bodily Force,Female,Black,Assaulted Officer,Downtown West,Suspicious Person ,OBSTRU
15184,Bodily Force,Female,Black,Assaulted Officer,Folwell,Attempt Pick-Up ,SEXTRF
15185,Bodily Force,Male,Native American,Commission of Crime,Ventura Village,Person with a Gun ,THREAT
15186,Bodily Force,Male,Black,Verbal Non-Compliance,Central,Damage Property-In Progress,OBSTRU
15187,Chemical Irritant,Female,Unknown,Commission of Crime,Downtown West,Fight ,DISCON
15188,Bodily Force,Female,Black,Tensed,Lowry Hill East,Miscellaneous ,MISC
15189,Chemical Irritant,Male,White,Commission of Crime,Downtown West,Miscellaneous ,DISCON
15190,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Directed Patrol ,FORCE
15191,Bodily Force,Male,not recorded,Tensed,Lowry Hill East,Unwanted Person ,CIC
15192,Taser,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
15193,Chemical Irritant,Female,Black,Commission of Crime,Near - North,Animal Bite ,ASLT5
15194,Bodily Force,Male,Black,Commission of Crime,Powderhorn Park,Suspicious Vehicle ,NARC
15195,Bodily Force,Male,White,Fled on Foot,Hale,Prowler ,NARC
15196,Bodily Force,Male,White,Tensed,Cleveland,Traffic Law Enforcement ,NARC
15197,Bodily Force,Male,Black,Unspecified,Jordan,Traffic Law Enforcement ,FLEEFT
15198,Chemical Irritant,Male,Black,Fled on Foot,Hawthorne,Traffic Law Enforcement ,FLEEFT
15199,Bodily Force,Male,Native American,Assaulted Officer,Como,Domestic Abuse-In Progress ,ASLT4
15200,Taser,not recorded,not recorded,Tensed,Hawthorne,Suspicious Person ,FENTRY
15201,Chemical Irritant,Male,Black,Tensed,Hawthorne,Sound of Shots Fired ,DISWEA
15202,Bodily Force,Male,Black,Commission of Crime,Lyndale,Miscellaneous ,NARC
15203,Chemical Irritant,Male,White,Assaulted Officer,Downtown West,Suspicious Person ,ASLT5
15204,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON
15205,Bodily Force,Male,Asian,Fled in Vehicle,Standish,Motor Vehicle Chase ,FLEE
15206,Bodily Force,Male,Native American,Assaulted Officer,Midtown Phillips,Burglary Biz - In Progress ,BURGD
15207,Bodily Force,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,TFPER
15208,Bodily Force,Male,Black,Tensed,Wenonah,Unknown Trouble ,OBSTRU
15209,Bodily Force,Male,White,Fled on Foot,Marcy Holmes,Fight ,ASLT4
15210,Taser,Male,Black,Fled on Foot,Loring Park,Suspicious Person ,OBSTRU
15211,Bodily Force,Male,Black,Tensed,Central,Suspicious Person ,ASLT4
15212,Bodily Force,Male,Black,Commission of Crime,Wenonah,Suspicious Person ,OBSTRU
15213,Bodily Force,Male,White,Tensed,Central,Unknown Trouble ,ROBPAG
15214,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
15215,Bodily Force,Male,Black,Unspecified,Downtown West,Suspicious Person ,DISCON
15216,Bodily Force,Male,Black,Tensed,Jordan,Person with a Gun ,DASLT2
15217,Bodily Force,Male,White,Tensed,Steven's Square - Loring Heights,Domestic Abuse-In Progress ,DASLT5
15218,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Disturbance ,DASLT5
15219,Chemical Irritant,Male,Black,Tensed,Marcy Holmes,Suspicious Person ,NARC
15220,Taser,Male,White,Tensed,Longfellow,Emotionally Disturb Person ,NARC
15221,Bodily Force,Male,Black,Assaulted Officer,Minnehaha,Domestic Abuse-In Progress ,ASLT4
15222,Bodily Force,Male,Black,Tensed,McKinley,Fight ,DISCON
15223,Bodily Force,Female,Black,Verbal Non-Compliance,Hawthorne,Chase on Foot ,POVIOL
15224,Chemical Irritant,Female,Black,Commission of Crime,Hawthorne,On Site ,FORCE
15225,Bodily Force,Male,Black,Tensed,McKinley,Fight ,DISCON
15226,Improvised Weapon,Male,Other / Mixed Race,Tensed,Midtown Phillips,Suspicious Person ,ASLT2
15227,Bodily Force,Female,not recorded,Tensed,Lyndale,Disturbance ,NARC
15228,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,FORCE
15229,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,DISCON
15230,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,DISCON
15231,Bodily Force,Male,Black,Fled on Foot,Jordan,Narcotics ,NARC
15232,Bodily Force,Male,Black,Commission of Crime,Cooper,Domestic Abuse-In Progress ,BURGD
15233,Bodily Force,Male,Black,Commission of Crime,Cooper,Domestic Abuse-In Progress ,BURGD
15234,Chemical Irritant,Male,White,Verbal Non-Compliance,Downtown West,Disturbance ,FORCE
15235,Bodily Force,Male,Black,Assaulted Officer,East Isles,Fight ,ASLT4
15236,Bodily Force,Male,Black,Fled on Foot,Downtown West,Suspicious Vehicle ,NARC
15237,Chemical Irritant,Female,White,Commission of Crime,Downtown West,Fight ,ASLT5
15238,Bodily Force,Male,Black,Commission of Crime,Cooper,Domestic Abuse-In Progress ,BURGD
15239,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,FORCE
15240,Gun Point Display,Male,Black,Fled on Foot,Downtown West,Suspicious Vehicle ,NARC
15241,Taser,Female,Black,Commission of Crime,Downtown West,Fight ,DISCON
15242,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Whittier,Suspicious Vehicle ,NARC
15243,Taser,Male,Black,Fled on Foot,Downtown West,Fight ,DISCON
15244,Bodily Force,Female,Black,Tensed,Windom Park,Suspicious Person ,DISCON
15245,Bodily Force,Male,Black,Fled on Foot,Jordan,Motor Vehicle Chase ,RECVEH
15246,Bodily Force,Male,Black,Tensed,Cooper,Road Hazard ,DWI
15247,Bodily Force,Female,Native American,Tensed,East Phillips,Person with a Gun ,OBSTRU
15248,Bodily Force,Male,White,Tensed,Jordan,Domestic Abuse-In Progress ,DASLT2
15249,Chemical Irritant,Male,White,Commission of Crime,Lowry Hill East,Disturbance ,TRSPAS
15250,Chemical Irritant,Male,Black,Tensed,Downtown West,Fight ,DAMPRP
15251,Bodily Force,Male,Black,Assaulted Officer,CARAG,Motor Vehicle Chase ,FLEE
15252,Bodily Force,Male,Black,Verbal Non-Compliance,Como,Suspicious Person ,OBSTRU
15253,Bodily Force,Male,Black,Tensed,Near - North,Assault in Progress ,OBSTRU
15254,Bodily Force,Male,Black,Fled in Vehicle,Jordan,Motor Vehicle Chase ,FLEE
15255,Bodily Force,Male,Other / Mixed Race,Tensed,Field,Emotionally Disturb Person ,CIC
15256,Taser,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
15257,Bodily Force,Male,Other / Mixed Race,Fled in Vehicle,Seward,Motor Vehicle Chase ,FLEE
15258,Chemical Irritant,Male,Black,Tensed,Powderhorn Park,Fight ,OBSTRU
15259,Bodily Force,Male,Other / Mixed Race,Commission of Crime,Longfellow,Assist an Officer ,ASLT5
15260,Bodily Force,Female,Other / Mixed Race,Tensed,St. Anthony West,Suspicious Person ,TLE
15261,Bodily Force,Female,White,Assaulted Officer,Loring Park,Suspicious Person ,ASLT4
15262,Bodily Force,Male,Black,Unspecified,Midtown Phillips,Traffic Law Enforcement ,FLEE
15263,Taser,Male,Black,Fled on Foot,Downtown West,Fight ,ASLT2
15264,Chemical Irritant,Male,Black,Unspecified,Lyndale,Suspected Hazard ,WEAPKN
15265,Bodily Force,Male,Black,Commission of Crime,Seward,Fight ,OBSTRU
15266,Taser,Male,White,Fled in Vehicle,Central,Unknown Trouble ,FLEE
15267,Taser,Male,Black,Tensed,Loring Park,Disturbance ,ASLT4
15268,Bodily Force,Male,Black,Commission of Crime,Audubon Park,Fight ,OBSTRU
15269,Taser,Male,Black,Tensed,Audubon Park,Fight ,OBSTRU
15270,Bodily Force,Male,Native American,Commission of Crime,Midtown Phillips,Person with a Weapon ,DAMMV
15271,Bodily Force,Female,White,Commission of Crime,Marshall Terrace,Traffic Law Enforcement ,DWI
15272,Bodily Force,Male,White,Tensed,Cleveland,Domestic ,DASLT5
15273,Bodily Force,Male,Black,Unspecified,Downtown West,Suspicious Person ,LOITER
15274,Bodily Force,Male,Black,Commission of Crime,Howe,Suspicious Person ,BURGD
15275,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,POSDPA
15276,Bodily Force,Female,White,Tensed,Willard - Hay,Assault in Progress ,CIC
15277,Bodily Force,Male,Black,Tensed,Whittier,Domestic Abuse-In Progress ,DOMEN
15278,Bodily Force,Male,Black,Unspecified,East Phillips,Suspicious Person ,NARC
15279,Bodily Force,Male,White,Verbal Non-Compliance,Ventura Village,High Risk Warrant Entry ,NARC
15280,Bodily Force,Male,Native American,Tensed,Loring Park,Customer Trouble ,DISCON
15281,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Person with a Weapon ,NARC
15282,Taser,Male,Black,Tensed,Lowry Hill East,Disturbance ,NARC
15283,Bodily Force,Male,Black,Tensed,Powderhorn Park,Suspicious Person ,OBSTRU
15284,Taser,Male,White,Fled on Foot,Downtown West,Suspicious Person ,WEAP
15285,Bodily Force,Male,White,Unspecified,Standish,Robbery of Person ,ROBPAG
15286,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Fight ,FORCE
15287,Taser,Male,Other / Mixed Race,Tensed,Downtown West,Suspicious Person ,CIC
15288,Bodily Force,Female,Unknown,Commission of Crime,Near - North,Fight ,OBSTRU
15289,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU
15290,Bodily Force,Female,Black,Tensed,Harrison,Fight ,OBSTRU
15291,Bodily Force,Male,Black,Commission of Crime,Near - North,Suspicious Person ,DAS
15292,Bodily Force,Male,White,Tensed,Standish,Unwanted Person ,NARC
15293,Chemical Irritant,Male,White,Commission of Crime,Downtown West,Disturbance ,DISCON
15294,Bodily Force,Male,White,Commission of Crime,Downtown West,Miscellaneous ,DISCON
15295,Bodily Force,Male,White,Tensed,Lyndale,Drunk/Intoxicated Person ,CIC
15296,Bodily Force,Female,Other / Mixed Race,Assaulted Officer,Cedar Riverside,Auto Theft in Progress ,DWI
15297,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
15298,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
15299,Bodily Force,Male,Other / Mixed Race,Tensed,Downtown West,Domestic Abuse Report Only ,DASLT5
15300,Bodily Force,Male,Black,Fled on Foot,Phillips West,Suspicious Person ,FLEEFT
15301,Bodily Force,Male,Other / Mixed Race,Tensed,Morris Park,High Risk Warrant Entry ,FENTRY
15302,Bodily Force,Male,White,Tensed,Cleveland,Traffic Law Enforcement ,NARC
15303,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Miscellaneous ,FORCE
15304,Bodily Force,Male,Black,Commission of Crime,Webber - Camden,Fight ,DASLT5
15305,Bodily Force,not recorded,not recorded,Tensed,Hawthorne,Suspicious Person ,FENTRY
15306,Bodily Force,Male,Native American,Tensed,Hawthorne,Suspicious Person ,FENTRY
15307,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,PUBURN
15308,Chemical Irritant,Male,Other / Mixed Race,Unspecified,Downtown West,Fight ,DISCON
15309,Bodily Force,Male,White,Assaulted Officer,Audubon Park,Domestic Abuse-In Progress ,ASLT4
15310,Bodily Force,Male,Black,Assaulted Officer,CARAG,Motor Vehicle Chase ,FLEE
15311,Gun Point Display,Male,White,Verbal Non-Compliance,Standish,Suspicious Vehicle ,FLEE
15312,Bodily Force,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,TFPER
15313,Bodily Force,Male,Black,Assaulted Officer,Folwell,Person with a Gun ,CIC
15314,Bodily Force,Male,White,Tensed,East Isles,Suspicious Person ,NARC
15315,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
15316,Bodily Force,Female,Other / Mixed Race,Tensed,Seward,Motor Vehicle Chase ,FLEE
15317,Improvised Weapon,Male,Black,Commission of Crime,Morris Park,High Risk Warrant Entry ,NARC
15318,Bodily Force,Male,White,Tensed,Central,Unknown Trouble ,ROBPAG
15319,Taser,Male,White,Tensed,Phillips West,Poss Personal Injury Acc ,OBSTRU
15320,Chemical Irritant,Male,Black,Commission of Crime,Marcy Holmes,Loud Party ,ASLT4
15321,Bodily Force,Male,Black,Tensed,Willard - Hay,Disturbance ,OBSTRU
15322,Chemical Irritant,Female,Unknown,Verbal Non-Compliance,Downtown West,Fight ,FORCE
15323,Bodily Force,Male,White,Tensed,University of Minnesota,Suspicious Person ,DISCON
15324,Chemical Irritant,Male,Black,Commission of Crime,Marcy Holmes,Suspicious Person ,DISCON
15325,Gun Point Display,Male,Black,Tensed,Downtown West,Suspicious Person ,WT
15326,Bodily Force,Male,Black,Tensed,Jordan,Miscellaneous ,OBSTRU
15327,Chemical Irritant,Male,Black,Tensed,CARAG,Suspicious Person ,FORCE
15328,Bodily Force,Male,Black,Tensed,McKinley,Fight ,DISCON
15329,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,FORCE
15330,Bodily Force,Female,Unknown,Commission of Crime,Near - North,Fight ,OBSTRU
15331,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Fight ,DISWEA
15332,Bodily Force,Male,Black,Tensed,Lowry Hill East,Traffic Law Enforcement ,NARC
15333,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,ASLT4
15334,Bodily Force,Male,White,Tensed,Downtown West,Customer Trouble ,OBSTRU
15335,Bodily Force,Male,Black,Tensed,St. Anthony West,Robbery of Person ,ROBPAG
15336,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Directed Patrol ,FORCE
15337,Bodily Force,Male,Black,Verbal Non-Compliance,Lind - Bohanon,Assist Other Agency ,WT
15338,Bodily Force,Male,Black,Tensed,Midtown Phillips,Suspicious Vehicle ,OBSTRU
15339,Bodily Force,Male,Black,Unspecified,Jordan,Burglary Dwlng In Progress ,BURGD
15340,Bodily Force,Male,White,Tensed,Victory,Unknown Trouble ,ASLT5
15341,Taser,Male,Black,Assaulted Officer,Downtown West,Suspicious Person ,DISARM
15342,Bodily Force,Male,Black,Assaulted Officer,Willard - Hay,Domestic Abuse-In Progress ,ASLT4
15343,Bodily Force,Male,Black,Tensed,Ventura Village,Unknown Wireless/Cell Phone,FC
15344,Taser,Male,Black,Verbal Non-Compliance,Prospect Park - East River Road,Check the Welfare ,CIC
15345,Bodily Force,Male,Black,Tensed,Jordan,Suspicious Person ,NARC
15346,Bodily Force,Male,Black,Tensed,Whittier,Assault in Progress ,CSCREG
15347,Bodily Force,Male,Native American,Tensed,Loring Park,Unwanted Person ,TRSPAS
15348,Taser,Male,Black,Tensed,Midtown Phillips,Disturbance ,NARC
15349,Bodily Force,Male,White,Assaulted Officer,Lyndale,Suspicious Person ,DISCON
15350,Chemical Irritant,Female,Black,Assaulted Officer,Webber - Camden,Theft ,ASLT4
15351,Bodily Force,Male,White,Tensed,ECCO,Emotionally Disturb Person ,CIC
15352,Bodily Force,Male,Black,Tensed,Jordan,Unknown Trouble ,DASLT5
15353,Bodily Force,Male,Black,Tensed,Powderhorn Park,Suspicious Person ,OBSTRU
15354,Bodily Force,Male,Black,Commission of Crime,Midtown Phillips,Traffic Law Enforcement ,NARC
15355,Bodily Force,Male,Black,Unspecified,Jordan,Emotionally Disturb Person ,CIC
15356,Bodily Force,Male,Black,Tensed,Midtown Phillips,Robbery of Person ,ROBPAG
15357,Bodily Force,Male,Black,Tensed,McKinley,Domestic Abuse-In Progress ,DASLT5
15358,Bodily Force,Male,White,Commission of Crime,Downtown West,Suspicious Person ,ASLT5
15359,Bodily Force,Male,Black,Tensed,Midtown Phillips,Unknown Wireless/Cell Phone,DASLT5
15360,Bodily Force,Female,White,Assaulted Officer,Northeast Park,Unwanted Person ,OBSTRU
15361,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON
15362,Bodily Force,Male,Native American,Fled on Foot,Central,Chase on Foot ,CSCREG
15363,Bodily Force,Female,Native American,Tensed,Windom Park,Personal Injury Accident ,OBSTRU
15364,Chemical Irritant,Female,Unknown,Commission of Crime,Downtown West,Disturbance ,DISCON
15365,Bodily Force,Male,Black,Tensed,Hawthorne,Domestic Abuse-In Progress ,DASLT5
15366,Bodily Force,Male,Black,Verbal Non-Compliance,Willard - Hay,Traffic Law Enforcement ,DWIREF
15367,Bodily Force,Male,White,Assaulted Officer,Whittier,Disturbance ,ASLT4
15368,Bodily Force,Male,White,Tensed,Holland,Assault in Progress ,FORCE
15369,Bodily Force,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,OBSTRU
15370,Bodily Force,Male,Black,Commission of Crime,Victory,Domestic Abuse-In Progress ,OBSTRU
15371,Bodily Force,Male,Black,Commission of Crime,Cedar Riverside,Person with a Gun ,ASLT4
15372,Bodily Force,Male,Black,Unspecified,Audubon Park,Unwanted Person ,FORCE
15373,Bodily Force,Male,White,Commission of Crime,Whittier,Unknown Trouble ,OBSTRU
15374,Chemical Irritant,Male,Black,Tensed,Victory,Fight ,OBSTRU
15375,Bodily Force,Female,White,Assaulted Officer,Downtown West,Unknown Wireless/Cell Phone,ASLT4
15376,Bodily Force,Female,White,Tensed,Downtown West,Suspicious Person ,ASLT5
15377,Bodily Force,Male,Black,Commission of Crime,Downtown West,Shooting ,ASLT2
15378,Bodily Force,Male,Native American,Commission of Crime,Ventura Village,Disturbance ,DISCON
15379,Bodily Force,Male,Black,Commission of Crime,Near - North,Suspicious Person ,OBSTRU
15380,Chemical Irritant,Male,White,Unspecified,Marcy Holmes,Miscellaneous ,MISC
15381,Bodily Force,Male,Black,Tensed,Bottineau,Property Damage/Hit & Run ,DWIREF
15382,Bodily Force,Male,Black,Tensed,Victory,Suspicious Vehicle ,R&C
15383,Bodily Force,Male,Black,Tensed,Lowry Hill East,Theft ,FORCE
15384,Bodily Force,Male,Black,Tensed,Jordan,Domestic Abuse-In Progress ,OBSTRU
15385,Firearm,Male,White,Commission of Crime,North Loop,Suspicious Vehicle ,FORCE
15386,Chemical Irritant,Male,Black,Commission of Crime,University of Minnesota,Prowler ,OBSTRU
15387,Bodily Force,Male,Black,Fled on Foot,Jordan,Suspicious Person ,BURGD
15388,Bodily Force,Male,Black,Verbal Non-Compliance,Willard - Hay,Unknown Wireless/Cell Phone,CIC
15389,Bodily Force,Male,White,Assaulted Officer,Downtown West,Suspicious Person ,ASLT4
15390,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DAMMV
15391,Bodily Force,Male,Other / Mixed Race,Commission of Crime,Marcy Holmes,Suspicious Person ,OBSTRU
15392,Bodily Force,Male,Native American,Tensed,East Phillips,Unknown Trouble ,OBSTRU
15393,Bodily Force,Male,Black,Unspecified,Cleveland,Suspicious Person ,OBSTRU
15394,Bodily Force,Male,Black,Commission of Crime,East Phillips,Attempt Pick-Up ,WT
15395,Bodily Force,Female,Black,Commission of Crime,Lind - Bohanon,Domestic Abuse-In Progress ,DASLT5
15396,Bodily Force,Male,Black,Commission of Crime,Jordan,High Risk Warrant Entry ,NARC
15397,Bodily Force,Male,White,Tensed,Whittier,Suspicious Person ,FALSNM
15398,Bodily Force,Male,White,Fled on Foot,Marcy Holmes,Fight ,ASLT4
15399,Bodily Force,Male,Other / Mixed Race,Tensed,Marcy Holmes,Loud Party ,OBSTRU
15400,Bodily Force,Male,Black,Commission of Crime,Morris Park,High Risk Warrant Entry ,NARC
15401,Bodily Force,Male,Black,Tensed,Midtown Phillips,Narcotics ,NARC
15402,Bodily Force,Female,not recorded,Assaulted Officer,Audubon Park,Assault in Progress ,CIC
15403,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
15404,Bodily Force,Male,White,Commission of Crime,Lowry Hill East,Suspicious Person ,ASLT5
15405,Taser,Female,Black,Verbal Non-Compliance,Windom,Assault in Progress ,WT
15407,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU
15408,Bodily Force,Female,White,Tensed,Corcoran,Narcotics ,OBSTRU
15409,Bodily Force,Female,Black,Tensed,Lind - Bohanon,Unwanted Person ,DAMPRP
15410,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Traffic Law Enforcement ,FLEE
15411,Taser,Male,White,Fled on Foot,Downtown West,Disturbance ,DISCON
15412,Bodily Force,Male,Black,Fled on Foot,Ventura Village,Suspicious Person ,OBSTRU
