,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
18223,Bodily Force,Male,Native American,tensed,Welfare & Emergency,-93.271484,44.963322
18224,Bodily Force,Male,Native American,fled,Violent,-93.24987,44.958234
18225,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.298169,44.985159
18226,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.273116,44.981648
18227,Bodily Force,Male,Black,tensed,Domestic,-93.312064,45.010538
18229,Less Lethal Weapons,Male,Black,tensed,Welfare & Emergency,-93.277546,44.895614
18230,Less Lethal Weapons,Male,White,verbal non-compliance,Welfare & Emergency,-93.271577,44.916981
18231,Chemical Irritant,Male,other,commission of crime,Violent,-93.274296,44.980781
18232,Less Lethal Weapons,Male,Native American,assaulting police officer or animal,Violent,-93.27196,44.980833
18233,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.290925,44.987706
18234,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.286823,44.999135
18235,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.274284,44.979986
18236,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.247341,45.012669
18237,Bodily Force,Female,White,assaulting police officer or animal,Welfare & Emergency,-93.262636,44.951946
18238,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.213687,44.981365
18239,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.297172,44.99578
18240,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.271883,44.980065
18241,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.257126,44.971782
18242,Bodily Force,Male,Black,fled,Violent,-93.293698,45.013131
18243,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.274296,44.980781
18244,Chemical Irritant,Male,other,commission of crime,Violent,-93.272499,44.979626
18245,Bodily Force,Male,Black,fled,Property & Vehicle,-93.2518,44.955537
18246,Chemical Irritant,Male,White,verbal non-compliance,Violent,-93.274296,44.980781
18247,Chemical Irritant,Male,other,fled,Property & Vehicle,-93.298274,44.949609
18248,Chemical Irritant,Female,Black,commission of crime,Suspicious & Disorder,-93.271963,44.981655
18249,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.274773,44.982827
18250,Bodily Force,Male,White,fled,Welfare & Emergency,-93.292906,44.960917
18251,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.272376,44.975633
18252,Guns,Male,White,tensed,Property & Vehicle,-93.274885,44.97606
18253,Bodily Force,Male,Native American,tensed,Domestic,-93.244852,44.957217
18254,Bodily Force,Male,White,fled,Violent,-93.228602,44.98469
18255,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.273116,44.981648
18256,Bodily Force,Female,White,assaulting police officer or animal,Suspicious & Disorder,-93.2372,45.005734
18257,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.299328,44.999156
18258,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.305114,44.987894
18259,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.308215,44.995179
18260,Bodily Force,Male,Native American,tensed,Welfare & Emergency,-93.291395,44.9627
18261,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.29584,44.956807
18262,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.247806,44.970771
18263,Less Lethal Weapons,Male,White,verbal non-compliance,Violent,-93.26393,44.947512
18264,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.298274,44.949609
18265,Guns,Male,other,verbal non-compliance,Violent,-93.277907,44.950852
18267,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.273516,44.97744
18268,Bodily Force,Male,Black,other/unspecified,Property & Vehicle,-93.293261,44.942123
18269,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.236171,44.980009
18270,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.297172,44.99578
18271,Less Lethal Weapons,Male,White,assaulting police officer or animal,Violent,-93.257126,44.971782
18272,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
18273,Bodily Force,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.277198,44.959194
18274,Chemical Irritant,Male,White,commission of crime,Suspicious & Disorder,-93.272499,44.979626
18275,Bodily Force,Female,White,tensed,Welfare & Emergency,-93.284138,45.013094
18276,Bodily Force,Female,Black,assaulting police officer or animal,Violent,-93.265034,44.977764
18277,Less Lethal Weapons,Male,other,assaulting police officer or animal,Welfare & Emergency,-93.287968,44.962973
18278,Chemical Irritant,Male,other,verbal non-compliance,Violent,-93.272499,44.979626
18279,Bodily Force,Female,Black,commission of crime,Violent,-93.301911,45.014106
18280,Less Lethal Weapons,Male,Native American,tensed,Property & Vehicle,-93.304206,44.894304
18281,Bodily Force,Male,Native American,tensed,Violent,-93.244852,44.957217
18282,Bodily Force,Male,Native American,fled,Property & Vehicle,-93.251747,44.959133
18283,Chemical Irritant,Male,other,commission of crime,Violent,-93.272499,44.979626
18285,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.259845,44.959121
18286,Chemical Irritant,Female,Black,commission of crime,Violent,-93.271954,44.982469
18287,Bodily Force,Male,White,tensed,Property & Vehicle,-93.295637,44.999709
18288,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.282185,44.948355
18289,Chemical Irritant,Male,other,commission of crime,Violent,-93.233184,44.947791
18290,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.27736,44.976774
18291,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.275286,44.984846
18292,Bodily Force,Female,Black,tensed,Suspicious & Disorder,-93.293085,44.960916
18293,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.274284,44.979986
18294,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.299823,45.004754
18295,Bodily Force,Male,White,assaulting police officer or animal,Domestic,-93.308265,45.01956
18296,Bodily Force,Female,Black,tensed,Welfare & Emergency,-93.27279,44.953733
18297,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.274284,44.979986
18298,Bodily Force,Male,White,fled,Property & Vehicle,-93.267586,44.969291
18299,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.29762,45.027623
18300,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.293226,45.032503
18302,Chemical Irritant,Male,White,commission of crime,Violent,-93.297004,44.948812
18304,Bodily Force,Male,Black,tensed,Violent,-93.268317,44.977166
18305,Less Lethal Weapons,Male,Black,tensed,Violent,-93.302146,45.033363
18306,Bodily Force,Male,Black,tensed,Domestic,-93.288915,45.012965
18307,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.288107,44.947485
18308,Chemical Irritant,Male,Black,commission of crime,Violent,-93.271797,44.977367
18309,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.298274,44.949609
18310,Bodily Force,Male,Native American,commission of crime,Welfare & Emergency,-93.278808,44.948347
18311,Chemical Irritant,Male,Black,commission of crime,Violent,-93.271927,44.98329
18312,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.320119,44.911556
18313,Bodily Force,Female,Black,tensed,Property & Vehicle,-93.306062,44.980743
18314,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.247317,44.924227
18315,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.273116,44.981648
18316,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.222197,44.987882
18317,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.281842,44.999111
18318,Bodily Force,Male,White,tensed,Property & Vehicle,-93.274885,44.97606
18319,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.253141,44.948367
18320,Chemical Irritant,Female,Black,commission of crime,Suspicious & Disorder,-93.284618,44.999132
18321,Chemical Irritant,Female,Black,commission of crime,Suspicious & Disorder,-93.27196,44.980833
18322,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.305114,44.987894
18323,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.263799,44.965684
18324,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.247134,44.971325
18325,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.27011,45.01057
18326,Guns,Male,Black,verbal non-compliance,Violent,-93.23717,45.006884
18327,Bodily Force,Male,Native American,verbal non-compliance,Violent,-93.278819,44.978407
18328,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.247806,44.970771
18329,Bodily Force,Male,Native American,fled,Violent,-93.24987,44.958234
18330,Bodily Force,Male,Black,other/unspecified,Violent,-93.30583,44.981164
18331,Bodily Force,Unknown,other,commission of crime,Violent,-93.276431,44.976808
18332,Chemical Irritant,Unknown,Black,other/unspecified,Suspicious & Disorder,-93.271883,44.980065
18334,Less Lethal Weapons,Male,White,other/unspecified,Property & Vehicle,-93.266136,44.977551
18335,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.291914,45.028566
18336,Bodily Force,Male,Black,tensed,Violent,-93.295674,45.026704
18337,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.30287,44.943143
18338,Chemical Irritant,Male,Black,commission of crime,Violent,-93.272499,44.979626
18339,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.307307,44.980731
18340,Chemical Irritant,Male,Black,commission of crime,Welfare & Emergency,-93.270806,44.981661
18341,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.273422,44.975433
18342,Bodily Force,Male,Black,tensed,Violent,-93.286544,45.024837
18343,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.26259,44.956428
18344,Chemical Irritant,Male,White,commission of crime,Violent,-93.297004,44.948812
18345,Chemical Irritant,Male,White,verbal non-compliance,Violent,-93.298274,44.949609
18346,Bodily Force,Male,White,other/unspecified,Welfare & Emergency,-93.250584,44.950067
18347,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.278808,44.948347
18348,Guns,Male,Black,fled,Violent,-93.288728,45.029365
18349,Chemical Irritant,Male,Black,verbal non-compliance,Violent,-93.297008,44.948366
18350,Bodily Force,Male,Native American,assaulting police officer or animal,Suspicious & Disorder,-93.269393,44.980281
18351,Chemical Irritant,Female,White,verbal non-compliance,Violent,-93.274296,44.980781
18352,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.277025,44.978019
18353,Bodily Force,Female,Native American,tensed,Suspicious & Disorder,-93.277369,44.973112
18354,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.263088,45.000357
18355,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.285504,44.956432
18356,Chemical Irritant,Male,other,commission of crime,Suspicious & Disorder,-93.242935,44.985285
18357,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.299432,44.98338
18358,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.30443,44.999439
18359,Chemical Irritant,Female,other,commission of crime,Suspicious & Disorder,-93.271963,44.981655
18360,Less Lethal Weapons,Male,White,fled,Violent,-93.228602,44.98469
18361,Bodily Force,Male,Native American,fled,Suspicious & Disorder,-93.287989,44.999685
18362,Chemical Irritant,Male,Black,commission of crime,Violent,-93.271883,44.980065
18363,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.313343,45.01054
18364,Chemical Irritant,Male,Black,other/unspecified,Suspicious & Disorder,-93.273141,44.980808
18365,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.287368,44.9627
18366,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.28418,44.974472
18367,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.289519,45.004247
18368,Bodily Force,Male,Black,tensed,Violent,-93.269582,44.981028
18369,Bodily Force,Female,White,tensed,Welfare & Emergency,-93.298274,44.949609
18370,Bodily Force,Male,Black,other/unspecified,Welfare & Emergency,-93.29054,45.014023
18371,Chemical Irritant,Female,White,assaulting police officer or animal,Suspicious & Disorder,-93.247803,44.995096
18372,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.300646,45.014097
18373,Chemical Irritant,Female,Black,commission of crime,Violent,-93.247623,44.970376
18374,Bodily Force,Female,White,commission of crime,Welfare & Emergency,-93.277912,44.933211
18375,Less Lethal Weapons,Female,Black,verbal non-compliance,Welfare & Emergency,-93.310981,45.028611
18376,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.308265,45.01956
18377,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.310774,44.999692
18378,Less Lethal Weapons,Female,White,verbal non-compliance,Suspicious & Disorder,-93.294312,45.008648
18379,Less Lethal Weapons,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.275347,44.977582
18380,Bodily Force,Male,Black,tensed,Violent,-93.302146,45.033363
18381,Chemical Irritant,Male,Black,other/unspecified,Suspicious & Disorder,-93.271954,44.982469
18382,Chemical Irritant,Male,White,commission of crime,Violent,-93.274284,44.979986
18383,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.29258,44.991687
18384,Bodily Force,Female,Native American,tensed,Property & Vehicle,-93.255569,44.959126
18385,Bodily Force,Male,White,fled,Welfare & Emergency,-93.284618,44.999132
18386,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.277546,44.895614
18387,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.273141,44.980808
18388,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.305707,45.012325
18389,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.29113,44.979903
18390,Less Lethal Weapons,Male,White,verbal non-compliance,Suspicious & Disorder,-93.234724,44.951081
18391,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.300074,45.004428
18392,Bodily Force,Male,Black,tensed,Domestic,-93.232368,44.939551
18393,Bodily Force,Male,Native American,commission of crime,Suspicious & Disorder,-93.24172,44.962747
18394,Less Lethal Weapons,Male,Black,verbal non-compliance,Domestic,-93.298114,45.021288
18395,Bodily Force,Female,other,assaulting police officer or animal,Suspicious & Disorder,-93.254971,44.956441
18396,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.279645,44.954638
18397,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.277025,44.978019
18398,Bodily Force,Male,White,tensed,Domestic,-93.27793,44.92597
18399,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.285504,44.956432
18400,Bodily Force,Male,White,verbal non-compliance,Welfare & Emergency,-93.306983,45.015941
18401,Bodily Force,Female,Black,assaulting police officer or animal,Violent,-93.288737,44.948363
18402,Bodily Force,Male,other,commission of crime,Domestic,-93.244852,44.957217
18403,Bodily Force,Male,Black,fled,Property & Vehicle,-93.300111,44.987356
18404,Chemical Irritant,Male,Black,other/unspecified,Suspicious & Disorder,-93.271954,44.982469
18405,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.273109,44.979187
18406,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.288043,45.021209
18407,Bodily Force,Male,Black,commission of crime,Violent,-93.233748,44.985314
18408,Bodily Force,Male,Black,commission of crime,Domestic,-93.299384,45.014086
18409,Chemical Irritant,Female,other,verbal non-compliance,Suspicious & Disorder,-93.273141,44.980808
18410,Bodily Force,Female,Black,tensed,Suspicious & Disorder,-93.308324,45.023181
18411,Bodily Force,Female,White,tensed,Domestic,-93.300897,45.001192
18412,Chemical Irritant,Male,Black,tensed,Violent,-93.273116,44.981648
18413,Chemical Irritant,Male,Black,fled,Violent,-93.272499,44.979626
18414,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.272499,44.979626
18415,Bodily Force,Male,Black,fled,Violent,-93.294957,45.013133
18416,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.280121,44.989989
18417,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.242935,44.985285
18418,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.274247,44.981638
18419,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.274885,44.97606
18420,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.305114,44.987894
18421,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.291626,44.978017
