,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
255,Bodily Force,Male,other,fled,Property & Vehicle,-93.307014,45.021359
256,Bodily Force,Male,Black,fled,Property & Vehicle,-93.277025,44.978019
257,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.268587,44.981232
258,Less Lethal Weapons,Male,Black,tensed,Property & Vehicle,-93.306344,45.013232
259,Bodily Force,Male,Black,tensed,Domestic,-93.312704,45.015051
260,Bodily Force,Male,White,verbal non-compliance,Domestic,-93.218444,44.903566
261,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.271883,44.980065
262,Bodily Force,Male,Black,commission of crime,Violent,-93.272499,44.979626
263,Less Lethal Weapons,Female,White,verbal non-compliance,Welfare & Emergency,-93.258781,44.956435
264,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278819,44.978407
265,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.2802,44.999677
266,Bodily Force,Male,Native American,tensed,Domestic,-93.298045,45.005399
267,Bodily Force,Male,White,fled,Property & Vehicle,-93.288675,44.955542
268,Less Lethal Weapons,Male,Black,tensed,Suspicious & Disorder,-93.267033,44.9609
269,Bodily Force,Male,White,tensed,Property & Vehicle,-93.228153,45.028618
270,Chemical Irritant,Female,Black,other/unspecified,Violent,-93.271954,44.982469
271,Bodily Force,Male,White,assaulting police officer or animal,Welfare & Emergency,-93.239211,44.967757
272,Less Lethal Weapons,Female,White,tensed,Suspicious & Disorder,-93.263861,45.005276
273,Bodily Force,Male,Black,tensed,Domestic,-93.312704,45.015051
274,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.272499,44.979626
275,Bodily Force,Male,Black,commission of crime,Violent,-93.274773,44.982827
276,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.263123,45.012669
277,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.288728,45.029365
278,Bodily Force,Female,Native American,fled,Suspicious & Disorder,-93.269628,44.944978
279,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.307598,44.991504
280,Bodily Force,Male,White,tensed,Property & Vehicle,-93.228153,45.028618
281,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.236171,44.980009
282,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.317197,44.989734
283,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.313448,45.025002
284,Less Lethal Weapons,Male,Native American,fled,Violent,-93.255682,44.948364
285,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.236171,44.980009
286,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.310768,45.00257
287,Less Lethal Weapons,Male,Native American,verbal non-compliance,Violent,-93.257534,44.954632
288,Bodily Force,Male,other,tensed,Suspicious & Disorder,-93.282979,44.952844
289,Bodily Force,Male,Native American,commission of crime,Suspicious & Disorder,-93.284807,44.971704
290,Bodily Force,Female,Native American,tensed,Property & Vehicle,-93.253096,44.953739
291,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.255554,44.93233
292,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.269628,44.944978
293,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.307598,45.011433
294,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.277816,44.967891
295,Bodily Force,Male,White,tensed,Property & Vehicle,-93.311431,45.011441
296,Bodily Force,Male,Black,commission of crime,Violent,-93.271963,44.981655
297,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.305715,44.991328
298,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.288932,44.905087
299,Bodily Force,Female,White,verbal non-compliance,Suspicious & Disorder,-93.308302,44.983466
300,Chemical Irritant,Male,Black,fled,Violent,-93.27196,44.980833
301,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.287074,44.997373
302,Less Lethal Weapons,Male,White,commission of crime,Property & Vehicle,-93.280525,44.972816
303,Bodily Force,Male,White,tensed,Property & Vehicle,-93.228153,45.028618
304,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.310768,45.00257
305,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.274031,44.965747
306,Chemical Irritant,Male,White,tensed,Suspicious & Disorder,-93.271797,44.977367
307,Bodily Force,Male,White,fled,Property & Vehicle,-93.304503,44.984396
308,Bodily Force,Male,White,commission of crime,Domestic,-93.244868,44.947044
