,ForceType,Sex,Race,TypeOfResistance
585,Less Lethal Weapons,Male,Black,assaulting police officer or animal
586,Bodily Force,Male,Black,fled
587,Bodily Force,Male,Black,fled
588,Bodily Force,Male,Black,tensed
589,Less Lethal Weapons,Male,Black,fled
590,Bodily Force,Male,Black,fled
591,Bodily Force,Female,Black,tensed
592,Bodily Force,Male,White,assaulting police officer or animal
593,Less Lethal Weapons,Male,Black,commission of crime
594,Bodily Force,Male,Black,other/unspecified
595,Bodily Force,Female,Black,fled
596,Bodily Force,Male,White,verbal non-compliance
597,Bodily Force,Male,Black,commission of crime
598,Bodily Force,Male,Black,assaulting police officer or animal
599,Bodily Force,Male,White,fled
600,Bodily Force,Male,Black,other/unspecified
601,Bodily Force,Male,Black,commission of crime
602,Less Lethal Weapons,Male,Black,fled
603,Bodily Force,Male,White,fled
604,Bodily Force,Male,other,commission of crime
605,Bodily Force,Male,White,commission of crime
606,Bodily Force,Male,Native American,other/unspecified
607,Chemical Irritant,Female,Black,commission of crime
608,Bodily Force,Male,Black,tensed
609,Bodily Force,Male,Black,tensed
610,Chemical Irritant,Male,Black,commission of crime
612,Bodily Force,Female,White,verbal non-compliance
613,Bodily Force,Male,Black,tensed
614,Less Lethal Weapons,Male,Native American,commission of crime
615,Bodily Force,Male,White,assaulting police officer or animal
616,Less Lethal Weapons,Male,Black,fled
617,Chemical Irritant,Male,Black,verbal non-compliance
618,Bodily Force,Male,Black,tensed
619,Bodily Force,Female,Black,commission of crime
620,Bodily Force,Male,Black,tensed
621,Bodily Force,Male,Black,fled
622,Chemical Irritant,Female,Black,commission of crime
623,Chemical Irritant,Male,Black,tensed
624,Bodily Force,Male,Black,commission of crime
625,Bodily Force,Female,Native American,fled
626,Bodily Force,Male,White,tensed
627,Bodily Force,Male,White,verbal non-compliance
628,Chemical Irritant,Female,Native American,verbal non-compliance
629,Bodily Force,Male,Black,verbal non-compliance
630,Bodily Force,Female,Black,other/unspecified
631,Bodily Force,Male,Native American,commission of crime
632,Bodily Force,Male,Black,fled
633,Bodily Force,Female,Black,other/unspecified
634,Chemical Irritant,Male,Black,commission of crime
635,Bodily Force,Male,Black,fled
636,Less Lethal Weapons,Male,White,assaulting police officer or animal
637,Bodily Force,Female,Black,fled
638,Bodily Force,Male,Black,verbal non-compliance
639,Bodily Force,Male,Black,other/unspecified
640,Bodily Force,Male,other,tensed
641,Less Lethal Weapons,Unknown,other,fled
642,Bodily Force,Male,Black,assaulting police officer or animal
643,Bodily Force,Male,Black,assaulting police officer or animal
644,Less Lethal Weapons,Male,Black,commission of crime
645,Bodily Force,Male,White,commission of crime
646,Bodily Force,Male,Black,commission of crime
647,Less Lethal Weapons,Male,other,commission of crime
648,Bodily Force,Male,Black,tensed
649,Chemical Irritant,Male,White,assaulting police officer or animal
650,Bodily Force,Male,Black,tensed
651,Bodily Force,Female,Black,fled
652,Bodily Force,Male,other,fled
653,Bodily Force,Male,White,fled
654,Bodily Force,Male,Black,assaulting police officer or animal
655,Bodily Force,Male,Black,assaulting police officer or animal
656,Less Lethal Weapons,Male,Black,fled
657,Bodily Force,Female,other,fled
658,Bodily Force,Male,other,tensed
659,Bodily Force,Male,Black,fled
